Date,Username,Text
"Feb 22, 2024 · 2:22 AM UTC",@ch_chotimah2,"Kemarin TKN 02 mengingatkan bahwa Jokowi tak mempunyai kewenangan cawe-cawe dalam pemerintahan Prabowo-Gibran jika memenangkan Pilpres 2024.  Sekarang ada berita adik Prabowo garansi seseorang bakal jadi menteri prabowo.  Sy sih ga kaget, kan Prabowo sendiri yg bilang, ""Dia (Hashim) adalah otak di belakang Gerindra. Saya hanyalah wayang""."
"Feb 22, 2024 · 3:26 AM UTC",@PartaiSocmed,Gerombolan yg sama ini dulunya adalah pendukung @prabowo di 2014 dan 2019. Begitu mereka pindah dukungan Prabowo langsung menang. Paham kan kenapa selama ini kami bilang beban @aniesbaswedan adalah pendukungnya sendiri.
"Feb 21, 2024 · 4:48 PM UTC",@H4T14K4LN4L42,Viral kan....!  Ini fakta kecurangan Tersetruktur Sistimatis dan masif 02 @KPU_ID @prabowo @jokowi
"Feb 21, 2024 · 11:19 AM UTC",@HARIMAU_JAYA,Yeehaaaa 💃🏽🕺🏽😜
"Feb 22, 2024 · 3:41 AM UTC",@tiapradiptha,Gw tidak termasuk 50 sekian persen yang nyoblos Prabowo.
"Oct 26, 2023 · 8:42 AM UTC",@tezosdomains,We are kicking off the governance process by asking the DAO to confirm Primate (of @BakingBenjamins and @TezCapital) as our Acting Steward of Governance!  https://talk.tezos.domains/t/p-001-active-confirm-primate-tzc-tez-as-the-acting-steward-of-governance/83
"Feb 22, 2024 · 2:59 AM UTC",@ch_chotimah2,"Tahun 2022, AHY masih nyerang rezim Jokowi, katanya Indonesia sdng tdk baik2 saja.  Tapi di tahun 2023, AHY dukung Prabowo yg siap melanjutkan rezim Jokowi.  Dan di tahun 2024, AHY bersedia jd pembantu Jokowi.  Ternyata bkn Indonesia, tp @AgusYudhoyono yg sedang tdk baik2 saja."
"Feb 22, 2024 · 3:41 AM UTC",@pilgrimates7,"Bro, ga ada asap kalau ga ada api. Itu jokower anteng2 aja selama buzzer ganjar ga nyenggol jokowi, ibu negara, dan anak2 nya...  Lo tau alasan kenapa suara ganjar terjun bebas?karena dia dan buzzernya masuk ranah itu, hal yg dilakukan buzzer prabowo 2014 dan 2019.."
"Feb 22, 2024 · 3:41 AM UTC",@SIGue_bdg,ada rajasa nya di belakang
"Feb 21, 2024 · 9:00 AM UTC",@ringofshu,Lah Prabowo dong cok?
"Feb 22, 2024 · 3:41 AM UTC",@ridwan2474,Lo ntar jadi menteri apa di kabinet prabowo?? Jangan2 jadi kacung doang.
"Feb 21, 2024 · 2:45 PM UTC",@H4T14K4LN4L42,Demo menuntut pemakzulan @jokowi dan diskwalifikasi 02 @prabowo
"Feb 22, 2024 · 3:41 AM UTC",@apaluliat2ajg,Cari aja di tiktok dawai Prabowo 11/100
"Feb 22, 2024 · 3:41 AM UTC",@tekarok007,"bayangkan kalau AHY kmrn jd cawapres anies? suara partai turun, kalah pula, bakalan ikut barisan sakit hati teriak2 pemilu curang skrng,  itulah namanya nasib g ad yg tau, yg di kira apes krn gagal jd cawapres anies ternyata itu hoki krn jd dukung prabowo dan jd pemenang"
"Feb 22, 2024 · 3:36 AM UTC",@FayyadhAma,"Ciee tampangnya, ternyata gemulai ya, tdk sesangar tweetnya.🤣🤣"
"Feb 22, 2024 · 1:10 AM UTC",@RisaHart,"Dulu Gus Dur diomongin karena matanya, sekarang Prabowo diomongin karena kakinya. Memang ya, netizen Indonesia ini senang sekali menghina fisik orang lain. Lupa ngaca kalau dirinya mungkin banyak kekurangan."
"Feb 22, 2024 · 3:41 AM UTC",@glock20xx,Prabowo kepada jokowi di tahun ke 2 dia berkuasa :
"Feb 22, 2024 · 3:41 AM UTC",@auliaspace,"""cil presiden kita siapa"" ""prabowo"" ""terus jokowi apa"" ""ya jokowi balik ke perkotaannya, terus prabowo yg urusin negaa kita""  KAGETTT bngt😳"
"Feb 21, 2024 · 12:00 AM UTC",@mukidioon3,"Pàk @SBYudhoyono @prabowo  Tetangga saya tadi datang kerumah, nangis nangis, di rumah gak ada yang bisa dimakan, uang dari serangan fajar kemaren dah habis, pinjam uang, mau sy tolak karena dukung 02, gak tega! Malah bapak joget joget?1 EMPATIMU dimana?!"
"Feb 22, 2024 · 3:40 AM UTC",@jakfar87,Rakyat nyata cinta Jokowi 90% dan pilih Prabowo 70% Guru besar-besar itu apa dipilih rakyat nyata ?
"Feb 21, 2024 · 4:45 AM UTC",@dayatpiliang,"gen z tiktok memang ajaib. kalau pdip mode oposisi dan mengerikan ya wajar, itu artinya demokrasi berjalan baik. tapi kalau prabowo mau mode soeharto ya kali mahasiswa seindonesia mau aktifin mode meruntuhkan rezim lagi 😀"
"Feb 22, 2024 · 3:40 AM UTC",@rkbfor08,Para pemimpin dunia ramai-ramai ucapkan selamat atas kemenangan Prabowo Subianto dan Gibran Rakabuming Raka dalam Pilpres 2024 versi quick count serta Real Count KPU sementara.  #prabowogibran #indonesiamaju #menangsatuputaran #pemimpindunia #rkb #rumahkeluargabersama
"Feb 21, 2024 · 1:25 PM UTC",@HARIMAU_JAYA,"Nyoblos sdh selesai, Suara Rakyat 🇮🇩 utk 02 INDONESIA MAJU PRAGIB @prabowo @gibran_tweet sdh selisih 35 JUTA suara lbh bnyk dibanding suara anak2 abah @aniesbaswedan utk AMINahAjadulu😅  @NasDem @DPP_PKB @cakimiNOW  “bagai katak dlm tempurung” 😜  HIDUP INDONESIA RAYA🫡🇮🇩🫰🏽❤️✌🏽"
"Feb 22, 2024 · 3:40 AM UTC",@my_speak,Pengecut elu min kata babeh aldo
"Feb 22, 2024 · 1:46 AM UTC",@dancersejati07,"""Begitu mandat diberikan kepada kami, langkah pertama kami memberi makan kepada seluruh anak Indonesia."" (Prabowo kampanye 2024)  ""Makan siang gratis itu baru diberikan tahun 2029."" (Saraswati setelah quick count)  Bocooooorrrr . .  #BubarkanKPUdanBawaslu #BubarkanKPUdanBawaslu"
"Feb 20, 2024 · 9:22 AM UTC",@HukumDan,"Lain kali ajarkan  sopan santun ,adab dan etika kepada ajudan anda bung @prabowo"
"Feb 21, 2024 · 1:05 PM UTC",@Kemhan_RI,"Menteri Pertahanan Prabowo Subianto @prabowo menerima courtesy call dengan Duta Besar Prancis untuk Indonesia @KBRI_Paris , H.E. Mr. Fabien Penone di Kemhan, Jakarta, Rabu (21/2)."
